,Incident Date,State,City Or County,Address,# Killed,# Injured,Zipcode
823,2016-06-27,OR,Woodburn,13436 Killiam Loop NE,3,1,97071
825,2016-06-26,NC,Charlotte,2240 Camp Greene St,0,5,28208
826,2016-06-26,GA,Atlanta,1500 block of Moreland Avenue SE,1,4,30316
827,2016-06-26,TX,Houston,6000 block of Elm Street,1,3,77081
828,2016-06-26,TX,Corpus Christi,Baldwin Blvd  and Lamar,0,4,78405
829,2016-06-25,TX,Fort Worth,2466 East Lancaster Avenue,2,5,76102
830,2016-06-25,VA,Norfolk,700 block of Craig Street,0,4,23523
831,2016-06-25,IL,Chicago,1400 block of W. 114th Place,0,4,60643
833,2016-06-24,CT,Hartford,Brook and Winter Street,0,5,06120
834,2016-06-24,MD,District Heights,3100 block of Orleans Ave,3,2,20747
837,2016-06-22,IL,Chicago,3100 block of West Warren,0,4,60612
838,2016-06-21,NJ,Willingboro,Mosshill Lane,0,4,08046
839,2016-06-21,KY,Louisville,2802 Rodman Street,2,2,40208
840,2016-06-19,VA,Roanoke,2328 Melrose Avenue,0,4,24017
841,2016-06-18,VA,Exmore,Fredrick Douglas Road,1,3,23350
842,2016-06-18,GA,Waycross,2625 Arnold Ct,2,2,31501
843,2016-06-18,IL,Chicago,East 79th Street and South Escanaba Avenue,0,4,60649
844,2016-06-14,DE,Wilmington,South Van Buren and Elm streets,0,4,19805
845,2016-06-14,CA,Oakland,1301 Franklin Street,1,3,94612
846,2016-06-13,CA,Fresno,East El Monte Way and Recreation Avenue,0,4,93702
847,2016-06-13,NY,Brooklyn,Avenue D and E. 57th,0,5,11203
848,2016-06-13,IL,Chicago,3200 block of West Congress,0,5,60624
849,2016-06-12,FL,Orlando,1912 S Orange Avenue,50,53,32806
850,2016-06-11,NM,Roswell,2300 block of Davis Ave,5,0,88201
851,2016-06-11,MN,Webster,4000 block of Elmore Avenue,0,4,55088
852,2016-06-11,NC,Charlotte,4000 block of Collegiate Avenue,1,3,28262
853,2016-06-11,CA,Stockton,Alvarado Avenue,1,3,95204
854,2016-06-11,CA,Panorama City,8500 block of Cedros Avenue,3,2,91402
855,2016-06-09,FL,Fort Walton Beach,Landview Drive,0,4,32547
856,2016-06-08,DC,Washington,1300 North Capitol St NW,0,4,20001
857,2016-06-08,MA,Boston,66 Washington St,1,3,02135
858,2016-06-06,CA,Visalia,33 60 South Fairway Street,0,4,93277
859,2016-06-05,MN,Minneapolis,8th and Humboldt Avenue N.,0,4,55405
860,2016-06-05,FL,Cape Coral,2600 block of Skyline Boulevard S,3,3,33914
861,2016-06-05,AZ,Phoenix,8152 N Black Canyon Hwy,2,4,85051
862,2016-06-05,NY,Brooklyn,Mermaid Ave and 16th St.,0,4,11224
863,2016-06-04,CO,Denver,3600 block of Hudson Street,3,1,80207
864,2016-05-31,IL,Chicago,3300 block of West Huron Street,0,4,60624
865,2016-05-31,IN,Fort Wayne,6600 block of Pawawna Drive,0,4,46815
866,2016-05-30,MD,Baltimore,500 block of East 43rd Street,0,5,21212
867,2016-05-30,CA,Sacramento,3900 block of 44th,0,5,95824
868,2016-05-29,NV,Las Vegas,200 block of N 3rd St,0,4,89101
869,2016-05-29,NJ,Trenton,600 block of Martin Luther King Jr. Boulevard,0,6,08618
870,2016-05-29,IN,Indianapolis,300 block of South Meridian Street,0,4,46225
871,2016-05-29,TX,Houston,13210 Memorial Dr,2,6,77079
872,2016-05-23,NJ,Newark,102 Isabella Avenue,0,5,07106
873,2016-05-22,LA,New Orleans,8639 Apple St,0,4,70118
874,2016-05-22,CA,Stockton,Poplar and Sutter Streets,1,3,95202
875,2016-05-22,TN,Nashville,100 block of Rains Avenue,0,4,37203
877,2016-05-18,IN,Indianapolis,34th Street and North Keystone Avenue,0,4,46218
878,2016-05-17,SC,Ravenel,5360 Savannah Highway,3,1,29470
879,2016-05-15,IN,Evansville,420 North Garvin Street,0,4,47711
882,2016-05-14,WV,Charleston,2337 Washington St W,1,3,25387
883,2016-05-11,AL,Birmingham,1400 block of 21st St N,1,4,35234
884,2016-05-11,IL,Chicago,7100 block of South State Street,0,5,60619
885,2016-05-08,TX,Austin,8600 block of North Lamar,1,3,78753
886,2016-05-06,MI,Detroit,12300 block of Gratiot,1,4,48205
887,2016-05-06,AL,Montgomery,1300 block of Clay Street,1,3,36104
888,2016-05-06,MD,Bethesda,7101 Democracy Blvd,3,3,20817
889,2016-05-05,LA,Shreveport,300 block of North Thomas Drive,2,6,71107
890,2016-05-05,FL,Miami,2108 NW 19th Terrace,1,3,33125
891,2016-05-04,MN,Minneapolis,16th Avenue North and Newton Avenue North,1,7,55411
892,2016-05-01,TN,Murfreesboro,1955 Old Castle Drive,0,5,37127
893,2016-04-29,MO,Saint Louis (Ferguson),400 block of N Dade Ave,0,4,63135
894,2016-04-29,CA,Oakland,3200 block of San Pablo Avenue,0,5,94608
895,2016-04-27,LA,Baton Rouge,4300  Block of Kerrit Dr,2,2,70814
896,2016-04-27,MS,Kilmichael,Pecan Drive,3,1,39747
897,2016-04-26,MD,District Heights (Forestville),6500 block of Hil-Mar Drive,1,4,20747
898,2016-04-25,TN,Nashville,400 Charlotte Avenue,0,4,37209
899,2016-04-25,FL,Miami,1506 Northwest 70th Street,0,5,33147
900,2016-04-24,VA,Halifax,1055 L P Bailey Memorial Hwy,0,5,24558
901,2016-04-24,IL,Chicago (Englewood),2000 block of West 68th Place,2,3,60636
902,2016-04-24,CO,Denver,1400 block of 14th Street,0,4,80204
903,2016-04-23,NV,Las Vegas,1650 South Hollywood Boulevard,1,3,89142
904,2016-04-23,AL,Auburn,1200 block of Lee Road 83,3,1,36804
905,2016-04-23,NY,New York (Manhattan),West 141st Street and Edgecombe Avenue,0,4,10030
906,2016-04-23,KS,Topeka,3732 SW Topeka Blvd,1,4,66609
907,2016-04-22,OH,Piketon,4077 Union Hill Rd,8,0,45661
908,2016-04-22,GA,Appling,3162 Johnson Drive,6,0,30802
909,2016-04-21,MD,Baltimore,4800 block of Frankford Avenue,0,4,21206
910,2016-04-19,AL,Blountsville,81551 Us Highway 278,1,4,35031
911,2016-04-19,IL,Chicago,2700 block of West 53rd Street,1,3,60632
912,2016-04-19,IL,Chicago,1400 block of West 84th Street,1,4,60620
913,2016-04-18,CA,Long Beach,1200 block of E. 17th Street,1,3,90813
914,2016-04-17,PA,Philadelphia,600 block of Westmoreland Street,3,1,19140
915,2016-04-17,SC,Pelzer,200 block of Eastview Road,1,3,29669
916,2016-04-17,TX,Edinburg,5021 W St Hwy 107,1,6,78504
917,2016-04-16,MI,Detroit,9500 block of Oakland,1,4,48211
918,2016-04-16,FL,Orlando,1100 block of Conley Street,2,4,32805
919,2016-04-16,AL,Enterprise,Baxter Street,0,4,36330
920,2016-04-10,WI,Milwaukee,76th and Sheridan,1,3,53218
921,2016-04-10,CA,Los Angeles,84th Street and Towne Avenue,0,4,90003
922,2016-04-09,TN,Memphis,Mt Moriah Road and Ridgeway Road,0,4,38115
923,2016-04-09,AL,Anniston,West 15th Street and Crawford Avenue,0,4,36201
924,2016-04-09,NM,Albuquerque,2600 block of Mesa Drive SE,0,4,87106
925,2016-04-07,IL,Chicago,2200 block of East 70th Place,0,4,60649
926,2016-03-31,IL,Chicago (Englewood),6800 block of South Throop,0,4,60636
927,2016-03-25,IL,Chicago,4500 block of West West End Avenue,0,4,60624
928,2016-03-25,CO,Denver,8501 E. Alameda Avenue,0,4,80230
929,2016-03-21,IL,Chicago,5700 block of West Washington Boulevard,0,4,60644
930,2016-03-19,FL,Plantation,12050 NW 4th Court,1,4,33325
931,2016-03-19,AL,Wetumpka,South Shelby Street,2,2,36092
933,2016-03-13,FL,Fort Myers,50 South Road,0,4,33907
934,2016-03-12,OR,Portland,16126 S.E. Stark St.,0,4,97233
936,2016-03-11,MI,Detroit,2600 block of Hazelwood,2,2,48206
937,2016-03-11,NJ,Trenton,Oliver Avenue,0,5,08618
938,2016-03-09,PA,Pittsburgh,1304 Franklin Ave,5,3,15221
939,2016-03-08,TX,San Antonio,Sherman St,2,3,78202
940,2016-03-07,LA,Lafayette,800 block of Martin Luther King Jr. Drive,0,4,70501
941,2016-03-07,KS,Kansas City,3000 block of South 36th Street,5,0,66106
942,2016-03-06,MA,Chelsea,120 Washington Avenue,1,6,02150
943,2016-03-06,GA,Roswell,890 Atlanta St,0,4,30075
944,2016-03-06,CA,Compton,900 block of West Victoria Street,1,8,90220
945,2016-03-05,KS,Wichita,116 North Mead,0,4,67202
946,2016-03-04,OH,Columbus,900 E 5th Ave,1,3,43201
947,2016-02-28,MI,Detroit,8800 block of Livernois,0,5,48204
948,2016-02-28,CA,Riverside (Jurupa Valley),5500 block of Etiwanda Avenue,1,3,91752
949,2016-02-27,VA,Woodbridge (Lake Ridge),13051 Lashmere Ct,2,2,22192
950,2016-02-26,WA,Belfair,300 block of Horseshoe Rd.,5,0,98528
951,2016-02-25,KS,Hesston,200 S Ridge Rd,4,14,67062
952,2016-02-23,AZ,Glendale,4812 West Sunnyside Ave,5,0,85304
953,2016-02-23,FL,Daytona Beach,1042 Sheridan Road,0,4,32114
954,2016-02-21,TX,Houston,5100 block of Idaho Street,0,5,77021
955,2016-02-21,MO,Hazelwood,7217 N Lindbergh Blvd,1,3,63042
956,2016-02-20,FL,Tampa,2810 E. Bearss Ave,1,3,33618
957,2016-02-20,MI,Kalamazoo,5581 Cracker Barrel Blvd,6,2,49009
958,2016-02-20,AL,Bessemer,200 block of Elm Street,1,3,35022
959,2016-02-20,FL,Orlando,446 S Parramore Ave,0,4,32805
960,2016-02-20,MS,Iuka,231 Co Rd 201,2,3,38852
961,2016-02-19,MO,Edgerton,4100 block of Buena Vista Road,4,0,64444
962,2016-02-19,CA,Vallejo,509 Porter Street,1,3,94590
963,2016-02-14,TX,Houston,8449 Gulf Freeway,1,3,77017
964,2016-02-14,AL,Eutaw (Union),Earnest Friday Road,0,5,35462
965,2016-02-13,LA,Marrero,5425 Lapalco Boulevard,0,4,70072
966,2016-02-07,MS,Pass Christian,Davis Avenue,2,4,39571
967,2016-02-07,FL,Orlando,7432 Universal Blvd,2,10,32819
968,2016-02-07,NY,Rochester,547 State St,1,7,14608
969,2016-02-07,IL,Chicago (Englewood),6500 block of South Green Street,0,4,60621
970,2016-02-06,CA,Los Angeles,12800 block of Cook Street,1,3,90061
971,2016-02-06,FL,Apopka,10th Street,0,4,32703
972,2016-02-06,FL,Tampa,8123 N Nebraska Ave,2,6,33604
973,2016-02-03,DC,Washington,1500 block of Butler St. SE,0,4,20020
974,2016-01-30,AZ,Glendale,67th and Missouri Avenue,3,5,85303
975,2016-01-27,VA,Chesapeake,1401 N. George Washington Hwy,6,0,23323
976,2016-01-26,WA,Seattle,Airport Way S. and S. Atlantic St.,2,3,98134
977,2016-01-25,CA,Perris,140 S. D Street,1,4,92570
978,2016-01-23,CA,Los Angeles,8105 Avalon Blvd,2,2,90003
979,2016-01-17,VA,Ware Neck (Gloucester Courthouse),Ditchley Road and Gill Lane,1,3,23061
980,2016-01-11,DE,Wilmington,900 block of Brown Street,1,4,19805
981,2016-01-08,DC,Washington,1700 East Capitol Street Northeast,0,4,20003
982,2016-01-08,IL,Chicago,1500 block of South Kedzie,1,4,60623
983,2016-01-07,TN,Memphis,3800 block of Kerwood Avenue,1,3,38128
984,2016-01-06,FL,Lakeland,2312 East Magnolia Street,3,1,33801
985,2017-12-31,CO,Littleton (Highlands Ranch),3404 E County Line Rd,2,6,80126
986,2017-12-31,IL,Chicago,2335 Howard St,0,4,60645
987,2017-12-31,NJ,Long Branch,635 Wall St,4,0,07740
988,2017-12-27,NV,Las Vegas,3750 E Bonanza Rd,2,2,89110
989,2017-12-26,FL,Miami,NW 18th Ave and 86th Ter,0,5,33147
990,2017-12-24,MS,Vicksburg,1111 Mulberry Street,0,5,39183
991,2017-12-24,AL,Troy,100 block of Chapman St,1,4,36081
992,2017-12-23,LA,Eunice,100 block of City Avenue,1,3,70535
993,2017-12-23,AL,Birmingham,3rd Ave N and 9th St N,0,4,35203
994,2017-12-21,LA,Lafayette,1500 block of N University Avenue,0,4,70506
995,2017-12-21,PA,Philadelphia,6600 block of Dorel St,1,3,19142
997,2017-12-15,CA,Pacoima,13041 Jouett Street,0,5,91331
998,2017-12-13,OH,Columbus,200 block of E Barthman Ave,1,3,43207
999,2017-12-12,KY,Louisville,17th and Gallagher Streets,0,4,40210
1000,2017-12-12,TX,Garland,1301 Rivercrest Ln,0,4,75040
1002,2017-12-06,IL,Chicago,4620 N Broadway,0,4,60640
1003,2017-12-04,PA,Pittsburgh,7200 block of Everton St,2,2,15206
1004,2017-12-03,TN,Memphis,656 Marshall Ave,1,3,38103
1005,2017-12-02,MI,Detroit,5200 Woodward Avenue,0,4,48202
1006,2017-11-30,MI,Detroit,11000 block of Gunston,1,4,48213
1007,2017-11-24,MS,Brookhaven,119 Martin Street,1,6,39601
1008,2017-11-24,OH,Cleveland,11618 Buckeye Rd,1,5,44120
1009,2017-11-18,MN,Minneapolis,3600 block of Emerson Avenue North,0,4,55412
1010,2017-11-17,LA,New Iberia,900 Block of Mississippi St,0,4,70560
1011,2017-11-16,GA,Columbus,1400 block of 15th Street,0,7,31901
1012,2017-11-14,CA,Corning,17357 Stagecoach Rd,6,12,96021
1013,2017-11-14,CA,Richmond,900 Block of View Dr,2,2,94803
1014,2017-11-12,IN,Gary,4601 Melton Rd,0,7,46403
1015,2017-11-12,CA,Fresno,S Calvin Ave,0,5,93725
1016,2017-11-12,GA,Atlanta,50 Lower Alabama St,2,2,30303
1017,2017-11-11,TX,Dallas,2532 Martin Luther King Jr Blvd,1,3,75215
1018,2017-11-11,LA,New Orleans,Forstall Street and Burgundy Street,1,5,70117
1019,2017-11-11,NC,Fayetteville,2835 Bragg Blvd,1,5,28303
1020,2017-11-10,OH,Dayton (Trotwood),193 Olive Rd,0,4,45417
1021,2017-11-09,PA,Philadelphia,1800 block of Ringgold,0,4,19145
1022,2017-11-05,TX,Sutherland Springs,216 4th St,27,20,78161
1023,2017-11-04,TX,Austin,N Lamar Blvd and Masterson Pass,0,4,78758
1024,2017-11-04,OH,Youngstown,2810 Market St,0,4,44507
1025,2017-11-04,CA,Santa Monica,1515 Ocean Avenue,1,3,90401
1026,2017-11-03,MN,Minneapolis,10th Ave S and E 24th St,0,4,55404
1027,2017-11-03,CA,Gardena,E 163rd St and S Main St,0,4,90248
1028,2017-11-03,NY,Buffalo,147 Roosevelt Ave,0,4,14215
1029,2017-11-03,LA,Lacombe,27600 block of Mirmar Street,1,4,70445
1030,2017-10-29,TX,Austin,5500 block of Ave F,1,3,78751
1031,2017-10-28,OH,Toledo,1327 N Huron St,0,4,43604
1032,2017-10-28,VA,Petersburg,N Sycamore St and Franklin,1,3,23803
1033,2017-10-27,KY,Louisville,1716 Prentice St,0,6,40210
1034,2017-10-27,CA,San Francisco,1100 block of Fillmore,0,4,94115
1035,2017-10-23,CA,Clearlake Oaks,13000 block of Anchor Village,2,3,95423
1036,2017-10-22,CT,Hartford,Wethersfield Avenue and Elliott Street,0,4,06114
1037,2017-10-22,AL,Lanett,1606 19th St Sw,2,7,36863
1038,2017-10-21,FL,Jacksonville,164 E Eubanks St,0,4,32218
1039,2017-10-21,TN,Nashville,1277 12th Ave S,0,4,37203
1040,2017-10-21,PA,Chester,1200 block of W Carlas Ln,0,4,19013
1041,2017-10-21,FL,Tampa,400 Block of E Nordica St,0,4,33603
1042,2017-10-18,MD,Edgewood,2111 Emmorton Park Rd,3,3,21040
1043,2017-10-17,NY,Brooklyn,181 Martense St,0,4,11226
1045,2017-10-15,TX,Houston,6233 Gulfton St,2,2,77081
1046,2017-10-15,AZ,Phoenix,107th Ave and Camelback Rd,1,3,85037
1047,2017-10-12,CA,Aliso Viejo,6 Asbury Ct,2,2,92656
1048,2017-10-11,OH,Pedro,15497 SR 93,4,0,45659
1049,2017-10-10,CA,San Francisco,25th St and Treat Ave,0,4,94110
1050,2017-10-09,TX,Houston,3352 Old Spanish Trail,0,5,77021
1051,2017-10-07,AZ,Phoenix,87th Ave and Thomas Rd,0,4,85037
1052,2017-10-06,IL,Chicago,8000 block of S Marshfield,0,5,60620
1053,2017-10-05,AZ,Casa Grande,400 block of W 13th Street,4,0,85122
1054,2017-10-03,FL,Miami,2051 NW 65th St,0,4,33147
1055,2017-10-01,KS,Lawrence,1000 block of Massachusetts St,3,2,66044
1056,2017-10-01,NV,Las Vegas,3950 Las Vegas Blvd S,59,441,89119
1057,2017-09-30,TN,Memphis,800 block of Kerr Avenue,1,3,38106
1058,2017-09-28,LA,New Orleans,2001 N Rocheblave St,1,3,70119
1059,2017-09-26,PA,Philadelphia,100 block of Pastorius St,1,3,19144
1060,2017-09-26,TN,Memphis,2531 Chelsea Ave,0,4,38108
1061,2017-09-26,MD,Baltimore,3200 block of Lyndale Ave,2,2,21213
1062,2017-09-24,MD,Baltimore,500 block of E. Patapsco Avenue,0,4,21225
1063,2017-09-24,TN,Antioch,3890 Pin Hook Rd,1,8,37013
1064,2017-09-24,NY,Syracuse,1226 E Fayette St,0,4,13210
1065,2017-09-24,NJ,Mays Landing,6000 block of Hoover Dr,1,3,08330
1066,2017-09-23,CA,Bakersfield,818 Real Rd,1,4,93309
1067,2017-09-23,IL,Danville,Seminary St and Jackson St,0,5,61832
1068,2017-09-23,CT,Hartford,1164 Albany Ave,2,2,06112
1069,2017-09-20,IN,Gary,4300 block of 23rd Ct,0,5,46404
1070,2017-09-17,MI,Detroit,5000 block of Stanton Street,1,3,48208
1071,2017-09-17,VA,Petersburg,300 Mistletoe St,1,4,23803
1072,2017-09-16,SC,Columbia,920 Lady Street,0,8,29201
1073,2017-09-13,TN,Memphis,1000 block of Morehead St,1,5,38107
1074,2017-09-13,WA,Rockford,14626 S Jackson Rd,1,3,99030
1075,2017-09-13,PA,York,400 block of S Duke St,0,4,17401
1076,2017-09-13,PA,Philadelphia,3100 block of N 2nd St,0,4,19133
1077,2017-09-10,LA,New Orleans,2101 N Claiborne Ave,1,3,70116
1078,2017-09-10,TX,Plano,1712 West Spring Creek Parkway,9,1,75023
1079,2017-09-09,AL,Selma,Kings Bend Road,0,4,36701
1080,2017-09-06,IL,Chicago,2700 block of Madison,0,4,60612
1081,2017-09-04,IL,Bellwood,1000 block of Bellwood Ave,0,4,60104
1082,2017-09-03,CA,Inglewood,10100 block of S Firmona Ave,2,3,90304
1083,2017-09-02,KY,Louisville,8008 Watterson Trl,0,4,40291
1084,2017-09-02,IL,Chicago,8300 block of S Hermitage,1,3,60620
1085,2017-08-28,NM,Clovis,701 N Main St,2,4,88101
1086,2017-08-27,CA,Sacramento,7760 24th St,1,4,95832
1087,2017-08-27,IN,Evansville,1127 Chestnut St,1,3,47713
1088,2017-08-25,FL,Gainesville,1600 NE 8th Ave,0,4,32603
1089,2017-08-24,MO,Saint Louis,10400 block of Balmoral Dr,4,0,63137
1090,2017-08-22,IL,Chicago,300 block of N Central Ave,0,4,60644
1092,2017-08-21,NC,Whitakers,980 Fishing Creek Rd,4,0,27891
1093,2017-08-21,NJ,Newark,700 block of S 19th St,1,3,07103
1094,2017-08-21,MD,Baltimore,Cottage Avenue and Park Heights Avenue,1,3,21215
1095,2017-08-21,TN,Memphis,262 Decatur St,0,4,38105
1096,2017-08-20,NY,Brooklyn,100th St and Ave M,0,4,11236
1097,2017-08-20,IL,Chicago,11901 S Loomis St,2,5,60643
1098,2017-08-19,OH,Cleveland,11143 Superior Ave,1,4,44106
1099,2017-08-16,NY,Wyandanch,Merritt Ave and 15th St,0,4,11798
1100,2017-08-14,CA,North Hollywood,Morrison St and Klump Ave,2,2,91601
1101,2017-08-13,PA,Philadelphia,39th St and Melon St,0,5,19104
1102,2017-08-13,CA,Sacramento,4000 Block of Martin Luther King Jr Blvd,0,4,95820
1103,2017-08-13,VA,Suffolk,8700 block of Quay Rd,0,4,23437
1104,2017-08-12,MO,Saint Louis,12310 Bellefontaine Rd,1,3,63138
1105,2017-08-08,IL,Chicago,1 block of East 37th St,1,6,60653
1106,2017-08-06,NY,Bronx,Wickham Ave,0,6,10469
1108,2017-08-06,CA,Oakland,1000 block of 106th Avenue,0,7,94603
1109,2017-08-05,NJ,Lakewood,900 block of Brook Road,0,4,08701
1110,2017-08-05,SC,Allendale,300 block of Ellis St,1,3,29810
1111,2017-08-05,FL,Tallahassee,1939 W Tennessee St,1,3,32304
1112,2017-08-04,MT,Lodge Grass,200 block of North Helen Street,3,2,59050
1113,2017-08-03,DC,Washington,3426 18th St NE,1,3,20018
1114,2017-08-02,MD,Baltimore,900 block of N Broadway,0,4,21205
1115,2017-08-01,IL,Chicago,800 block of N Monticello Ave,0,4,60651
1116,2017-08-01,WA,Toppenish,8000 Block of Lateral C Rd,0,6,98948
1117,2017-08-01,CA,Fresno,Mariposa St and A St,0,7,93706
1118,2017-07-31,IL,Decatur,Jasper St and Main St,0,4,62521
1119,2017-07-30,VA,Norfolk,1500 block of Azalea Garden Rd,1,5,23502
1120,2017-07-30,TX,El Paso,1810 George Dieter Dr,1,3,79936
1121,2017-07-29,NY,Buffalo,200 block of Carl St,1,4,14215
1122,2017-07-29,NC,Salisbury,115 W Fisher St,2,3,28144
1123,2017-07-28,DE,Wilmington,400 block of N Washington St,0,4,19801
1124,2017-07-27,IL,Chicago,2000 block of E 71st St,1,4,60649
1125,2017-07-26,NC,High Point,2111 E. Green Drive,1,6,27260
1126,2017-07-25,FL,Jacksonville,1040 Golfair Boulevard,1,3,32209
1127,2017-07-23,IL,Chicago,1500 block of East 82nd St,1,3,60619
1128,2017-07-23,LA,Baton Rouge,10360 Ave H,0,4,70807
1129,2017-07-22,OH,Cincinnati,130 E Clifton Ave,0,5,45202
1130,2017-07-19,VA,Richmond,2300 block of Bethel St,0,5,23223
1131,2017-07-19,CA,Los Angeles,Imperial Hwy and Broadway,1,3,90061
1132,2017-07-18,WI,Milwaukee,3000 block of N 39th St,0,4,53210
1133,2017-07-18,NJ,Trenton,Hewitt St and Division St,1,3,08611
1134,2017-07-18,AZ,El Mirage,NW Grand Ave and W Thunderbird Rd,0,4,85335
1135,2017-07-15,PA,Philadelphia,21st and Fitzwater,1,3,19146
1136,2017-07-15,IL,Chicago,12200 block of S Throop St,0,4,60643
1137,2017-07-09,VA,Lawrenceville,500 block of Sturgeon Rd,0,7,23868
1138,2017-07-08,IL,Alton,700 block of Oakwood Ave,0,4,62024
1139,2017-07-08,OH,Cincinnati,9917 Capstan Dr,1,8,45251
1140,2017-07-06,MS,Meridian,Eighth Ave,0,4,39301
1141,2017-07-05,GA,Savannah,Jefferson Street and West St. Julian Street,0,4,31401
1142,2017-07-05,IL,Chicago (Roseland),11000 block of S Eberhart,2,2,60628
1143,2017-07-05,ME,Madison,300 block of Russell Rd,4,1,04950
1144,2017-07-04,FL,Orlando (Pine Castle),501 W Lancaster Rd,0,4,32809
1145,2017-07-04,VA,Hampton,500 block of Patterson Ave,1,4,23669
1146,2017-07-04,NC,Raleigh,105 E South St,1,3,27601
1147,2017-07-03,AL,Prattville,112 US 82,3,1,36067
1148,2017-07-03,MI,Pontiac,50 block of Thorpe St,1,3,48341
1149,2017-07-02,NJ,Jersey City,Wilkinson Avenue,0,4,07305
1151,2017-07-01,IL,Momence,2727 S 13000 Rd E,0,4,60954
1152,2017-07-01,NJ,Newark,Lincoln Park and Pennsylvania Avenue,2,2,07102
1153,2017-07-01,CA,Oakland,3200 Humboldt Ave,0,4,94602
1154,2017-07-01,AR,Little Rock,220 W 6th St,0,25,72201
1155,2017-06-30,NY,Bronx,1650 Grand Concourse,2,6,10457
1156,2017-06-27,IL,Chicago,200 block of S Lotus,0,5,60644
1157,2017-06-25,DC,Washington,5900 block of Southern Ave SE,0,4,20019
1158,2017-06-25,MO,Saint Louis,5000 block of Thekla Ave,1,3,63115
1159,2017-06-24,FL,Fort Lauderdale,2335 NW 16th Ct,1,4,33311
1160,2017-06-24,NY,New York (Manhattan),114th St and Manhattan Ave,0,5,10026
1161,2017-06-24,NJ,Willingboro,Pastoral Lane,0,4,08046
1162,2017-06-22,GA,Atlanta,1100 block of Osborne Street,1,6,30310
1163,2017-06-18,MO,Saint Louis,1900 block of N 14th St,3,2,63106
1164,2017-06-18,DC,Washington,3100 block of Buena Vista Terrace SE,0,4,20020
1165,2017-06-18,IL,Chicago,3300 block of W Crystal St,0,4,60651
1166,2017-06-18,SC,Myrtle Beach,311 N Ocean Blvd,0,7,29575
1167,2017-06-17,IL,Chicago,1 block of N Latrobe,0,4,60644
1168,2017-06-17,OH,Columbus,6252 Busch Blvd,1,4,43229
1169,2017-06-15,VA,Richmond,4053 Old Brook Road,1,3,23227
1170,2017-06-15,NM,La Madera,491 NM 111,5,0,87539
1171,2017-06-14,VA,Alexandria,420 E Monroe Ave,1,5,22301
1172,2017-06-14,OH,Canton,14th St NE and Gibbs Ave NE,0,4,44714
1173,2017-06-14,CA,San Francisco,720 San Bruno,4,2,94107
1174,2017-06-13,MD,Baltimore,3300 block of Ayrdale Avenue,0,4,21216
1175,2017-06-13,MD,Baltimore,1200 block of Bonaparte Avenue,2,2,21218
1176,2017-06-13,MO,Saint Louis (University City),Ferguson Ave and Plymouth Ave,0,4,63130
1177,2017-06-11,IL,Chicago,3300 block of W Douglas Blvd,0,9,60623
1178,2017-06-11,TN,Chattanooga,4272 Bonny Oaks Drive,0,4,37406
1179,2017-06-11,TX,Houston,505 Cypress Station Dr,0,4,77090
1180,2017-06-10,TN,Memphis,571 East Street,0,4,38104
1181,2017-06-09,TX,Fort Worth,East Davis Avenue and New York Avenue,2,5,76104
1182,2017-06-08,LA,New Orleans,3650 Franklin Ave,0,6,70122
1183,2017-06-06,UT,Sandy,2232 Alta Canyon Drive,3,2,84093
1184,2017-06-05,FL,Orlando,2427 Forsyth Rd,6,0,32807
1185,2017-06-03,MO,Saint Louis,1600 Block of Union Blvd,2,2,63113
1186,2017-06-03,LA,New Orleans,3717 Tulane Ave,3,2,70119
1187,2017-06-02,CA,Los Angeles,89th St and Broadway,1,3,90003
1188,2017-06-02,TX,Laredo,5301 McPherson Rd,2,3,78041
1189,2017-06-01,MO,Saint Louis,Beacon Ave and Lillian Ave,3,1,63120
1190,2017-05-30,OH,Middletown,1200 Elliott Dr,1,3,45044
1191,2017-05-29,KY,Louisville,231 Witherspoon St,1,3,40202
1192,2017-05-28,AL,Phenix City,100 block of 6th Street South,0,12,36869
1193,2017-05-28,NJ,Paterson,86 Main Street,1,5,07505
1194,2017-05-28,MS,Moss Point,6103 Hwy. 63,0,5,39563
1195,2017-05-27,NY,New York (Manhattan),318 W 14th St,0,4,10014
1196,2017-05-27,DC,Washington,100 block of Q Street Northwest,1,7,20001
1197,2017-05-27,MS,Bogue Chitto,2871 Lee Dr,8,1,39629
1198,2017-05-26,FL,Miami,2730 NW 167th St,0,4,33054
1199,2017-05-21,IA,Des Moines,4300 Beaver Dr,1,3,50310
1200,2017-05-21,AZ,Mesa,441 N Val Vista Dr,0,4,85213
1201,2017-05-20,PA,Philadelphia,2100 block of W Huntingdon St,0,10,19132
1202,2017-05-16,SC,Ruffin,21785 Lowcountry Hwy,3,1,29475
1203,2017-05-14,AR,Jonesboro,311 S Main St,1,6,72401
1204,2017-05-14,IL,Dolton,14112 Chicago Road,0,5,60419
1205,2017-05-14,FL,Avon Park,Hal McRae Blvd and Delaney Ave,0,5,33825
1206,2017-05-14,TX,Fort Worth,8600 block of Calmont Ave,0,4,76116
1207,2017-05-10,NJ,Trenton,300 block of Centre St,1,3,08611
1208,2017-05-09,KS,Kansas City,1900 block of S. Boeke,3,1,66103
1209,2017-05-07,IL,Chicago,2600 block of 46th Pl,2,8,60632
1210,2017-05-04,MI,Flint,600 block of Copeman Boulevard,1,3,48503
