,Incident Date,State,City Or County,Address,# Killed,# Injured,Zipcode
520,2015-05-03,OH,Dayton,2801 Germantown Street,1,6,45417
522,2015-05-01,WI,Milwaukee,3700 block of 37th Street,2,3,53216
523,2015-04-27,NY,Brooklyn,1365 Flatbush Ave,2,4,11226
526,2015-04-25,NY,Gates,24 Hinchey Rd,1,6,14624
527,2015-04-21,TX,Killeen,420 Gilmer St,2,3,76541
528,2015-04-19,VA,Richmond,200 block of West Hill Street,0,4,23220
529,2015-04-18,AL,Montgomery,1800 block of Gibbs Court,0,5,36108
530,2015-04-18,PA,Williamsport,321 Pine St,0,5,17701
532,2015-04-18,NC,Charlotte,Bost Street,0,4,28208
533,2015-04-18,NJ,Paterson,Rosa Parks Blvd and Godwin Ave,1,3,07501
534,2015-04-16,AZ,Phoenix,4300 block of East Anderson Drive,5,0,85032
535,2015-04-07,GA,Rome,20 Copeland Street,1,3,30161
536,2015-04-05,PA,Pittsburgh,Dinwiddie Street,1,3,15219
537,2015-04-05,KY,Louisville,40th and Grand Street,1,4,40211
538,2015-04-05,IN,Indianapolis,5000 block of Wildflower Court,0,5,46254
539,2015-04-05,MI,Benton Harbor,1000 block of Blossom Lane,0,4,49022
540,2015-04-03,FL,Daytona Beach,300 block of Henry Butts Drive,0,4,32114
541,2015-04-02,MD,Baltimore,1900 block of West Lanvale Street,0,5,21217
542,2015-03-27,FL,Panama City Beach,5312 Thomas Drive,0,7,32408
543,2015-03-26,TX,Amarillo,3100 block of Redwood,0,4,79107
544,2015-03-24,IN,Indianapolis,3100 block of North Harding Street,4,0,46208
545,2015-03-23,TN,Clarksville,900 block of Carpenter Street,1,4,37040
546,2015-03-22,NM,Albuquerque,10140 Lomas NE,1,6,87112
547,2015-03-21,FL,Tampa,1802 Seventh Ave,0,4,33605
548,2015-03-20,OK,Oklahoma City,1300 block of N Stiles Ave,0,4,73104
549,2015-03-20,TX,Lancaster,1500 block of Reynolds Street,1,5,75134
550,2015-03-18,NJ,Newark,200 block of Clinton Place,1,3,07112
551,2015-03-18,AZ,Mesa,1504 West Main Street,1,5,85201
552,2015-03-17,CA,Stockton,748 N Madison St,3,4,95202
553,2015-03-15,CA,Compton,2700 block of West Alondra Boulevard,0,4,90220
554,2015-03-14,GA,Atlanta,2900 block of Delmar Lane,0,5,30311
555,2015-03-14,CA,Coachella,84000 block of Bagdad Avenue,0,4,92236
556,2015-03-13,MS,Brookhaven,1097 South First St.,2,3,39601
557,2015-03-10,GA,Columbus,3023 Victory Drive,0,5,31903
558,2015-03-09,IL,Chicago,200 block of West 105th,1,3,60628
560,2015-03-07,MO,Saint Louis,3140 Olive St,0,4,63103
561,2015-03-04,CA,San Bernardino,190 block of W Club Center Dr,3,4,92408
562,2015-03-01,FL,Orange County,4900 block of Steyr Street,0,4,32819
563,2015-03-01,MI,Detroit,9855 Chalmers St,1,5,48213
564,2015-02-28,MD,Baltimore,4300 block of Welbourne Road,1,3,21218
565,2015-02-26,MO,Tyrone,18279 Highway H,8,1,65464
566,2015-02-25,TX,Houston,5022 Mallow St,3,1,77033
567,2015-02-23,FL,Daytona Beach,Sheridan Road,0,4,32114
568,2015-02-22,TX,Killeen,1706 Godman St.,4,1,76543
569,2015-02-22,GA,Clarkesville,281 Lower Pond Court,3,2,30523
570,2015-02-22,SC,Charleston,4224 Dorchester Road,0,4,29405
571,2015-02-20,CA,Sacramento,1417 R Street,0,4,95811
572,2015-02-17,AR,Little Rock,7900 Scott Hamilton,1,3,72209
573,2015-02-15,CA,Long Beach,200 block of W. 14th Street,0,5,90813
574,2015-02-09,FL,New Port Richey,9552 Adler Street,3,1,34654
575,2015-02-08,TN,Friendship,251 Dupree Rd,0,6,38034
576,2015-02-07,GA,Douglasville,3640 Willow Tree Circle,5,2,30135
577,2015-02-06,OK,Tulsa,1219 N. Sheridan Road,1,4,74115
579,2015-02-01,NY,Syracuse,1217 West Fayette Street,0,6,13204
580,2015-02-01,NY,New York (Manhattan),3345 Broadway,1,4,10031
581,2015-01-31,GA,Lagrange,100 block of Woodstream Trail,4,0,30240
582,2015-01-28,GA,Dekalb County,1600 block of Panola Road,1,3,30088
583,2015-01-26,CA,Stockton,1500 block of E. 9th Street,1,3,95206
584,2015-01-24,NY,Arverne (Queens),231-11 148th Avenue,4,1,11413
585,2015-01-24,NE,Omaha,3402 Parker St,3,5,68111
586,2015-01-23,MA,Boston,954 Parker Street,0,6,02130
587,2015-01-20,TN,Clarksville,321 Lansinger Lane,1,3,37042
588,2015-01-19,TX,San Antonio,1000 block of Gibbs St.,2,5,78202
589,2015-01-13,IL,Rockford,700 block of Oakley Avenue,2,2,61101
590,2015-01-13,VA,Portsmouth,4100 block of Portsmouth Boulevard,0,5,23321
591,2015-01-11,NC,Hope Mills,1900 block of Gumberry Road,2,5,28348
592,2015-01-11,FL,Lakeland,7665 Chase Road,1,3,33810
593,2015-01-11,CA,San Jose,3840 Monterey Hwy,0,5,95111
594,2015-01-10,KS,Wichita,4859 E Harry Street,2,2,67218
595,2015-01-09,CA,San Francisco,Laguna St and Page St,4,0,94102
596,2015-01-08,MA,Boston,104 Harrishof Street,1,3,02121
597,2015-01-07,TN,Chattanooga,773 West Main Street,1,3,37402
598,2015-01-06,FL,Miami,1300 block of NW 62nd Street,1,3,33147
599,2015-01-04,VA,Roanoke,3634 Shenandoah Ave NW,2,4,24017
600,2015-01-04,TX,Dallas,2000 block of Ben Hur St.,3,1,75253
601,2015-01-02,GA,Savannah,500 block of W. 54th Street,1,4,31405
602,2015-01-01,TN,Memphis,Interstate 240 and Poplar Avenue,0,5,38119
603,2016-12-31,GA,Lenox (El Dorado),27 Briarwood Ct,2,2,31637
604,2016-12-31,TX,Houston,3704 Fannin Street,1,3,77004
605,2016-12-30,OH,Mansfield,3230 Possum Run Rd,0,5,44903
606,2016-12-30,CT,Wallingford,95 S Turnpike Rd,2,3,06492
607,2016-12-28,GA,Columbus,2914 10th Street,1,4,31906
608,2016-12-25,IL,Chicago,8600 block of S Maryland Ave,3,4,60619
609,2016-12-25,AL,Ozark,858 US-231,0,4,36360
610,2016-12-25,NY,Mount Vernon,4 North 3rd Avenue,1,5,10550
611,2016-12-24,NC,Madison,490 K Ford Rd,0,7,27025
612,2016-12-24,NC,Wilson,2241 Banks Lane East,4,0,27893
613,2016-12-23,AL,Birmingham,3813 Richard Arrington Boulevard North,1,3,35234
614,2016-12-23,IL,Chicago,4900 block of W Hubbard,0,4,60644
615,2016-12-17,IL,Chicago (Roseland),100 block of W 105th St,5,0,60628
616,2016-12-17,NC,Charlotte,4115 N. Tryon Street,0,4,28206
617,2016-12-16,IL,Chicago,13th and South Kedzie,0,4,60612
618,2016-12-16,IL,Chicago,4300 block of South Rockwell,2,2,60632
619,2016-12-12,CA,Sacramento,4800 block of Myrtle Avenue,1,3,95841
620,2016-12-11,NY,Brooklyn,192 Knickerbocker Ave,0,4,11237
621,2016-12-11,FL,Orlando (Pine Hills),4305 N Pine Hills Rd,1,4,32808
622,2016-12-11,MD,Baltimore,3916 South Hanover Street,0,5,21225
623,2016-12-11,NC,Rocky Mount,1200 block of East Highland Ave,0,4,27801
625,2016-12-09,CA,Fresno,842 Fresno Street,0,4,93706
626,2016-12-05,NM,Albuquerque,1532 Stagecoach Lane,4,1,87123
627,2016-12-03,CA,Los Angeles,91st Street and Western Avenue,0,6,90047
628,2016-12-02,NJ,Bloomfield,3 1st Ave,0,6,07003
630,2016-11-30,MD,Baltimore,2901 Garrison Blvd,2,4,21216
631,2016-11-28,TX,Mission (Palmview),1840 West Palma Vista Drive,1,3,78572
632,2016-11-28,CA,Wilmington,1067 McDonald Avenue,0,4,90744
633,2016-11-28,CA,San Pedro,300 block of West 2nd Street,0,4,90731
634,2016-11-27,LA,New Orleans,100 block of Bourbon Street,1,9,70112
635,2016-11-27,MO,Kansas City,Gregory and Prospect,0,7,64132
636,2016-11-26,IL,Chicago,8800 block of S Exchange Ave,1,5,60617
637,2016-11-25,LA,New Orleans,Magnolia St and Felicity St,0,4,70113
638,2016-11-24,KY,Louisville,4501 W Broadway,2,4,40211
639,2016-11-24,NY,Albany,77 Central Ave,1,3,12206
640,2016-11-23,MS,Olive Branch,928 Cross Road,0,4,38632
641,2016-11-22,FL,Clewiston,1068 Harlem Academy Ave,1,4,33440
642,2016-11-18,IL,Chicago,5000 block of W Wabansia,0,4,60639
643,2016-11-17,TN,Dyersburg,160 Longfellow,1,7,38024
644,2016-11-13,FL,Jacksonville,5105 Cleveland Rd,3,2,32209
645,2016-11-13,TX,San Antonio,8000 Midcrown,0,4,78218
646,2016-11-13,CA,San Diego,3800 block of Marlborough Avenue,3,2,92105
647,2016-11-13,FL,Orlando,Conley Street and South Ivey Lane,0,4,32811
648,2016-11-12,CA,Sacramento,8600 block of Ardith Drive,1,5,95828
650,2016-11-12,CT,Bridgeport,2500 Park Avenue,0,5,06604
651,2016-11-11,TX,Houston,7705 Channelside Street,0,4,77012
652,2016-11-10,TX,Houston,6610 S Sam Houston Pkwy W,1,3,77085
653,2016-11-09,WA,Seattle,1524 3rd Ave,0,5,98101
654,2016-11-09,IL,Chicago,3400 block of W Monroe,1,3,60624
655,2016-11-09,TN,Memphis,1800 block of East Brooks Road,0,4,38116
656,2016-11-05,FL,Fort Lauderdale (Lauderhill),3135 West Broward Boulevard,1,3,33312
657,2016-11-05,TX,San Antonio,10726 Perrin Beitel Rd,0,4,78217
658,2016-11-05,SC,Myrtle Beach,803 Main St,0,5,29582
659,2016-11-05,CA,Oakland,420 14th Street,0,8,94612
660,2016-11-05,IL,Chicago,4800 block of North Winthrop,0,5,60640
661,2016-11-04,PA,Philadelphia,5451 Springfield Ave,0,4,19143
662,2016-11-03,IL,Chicago,8000 block of S Shore Dr,2,2,60617
663,2016-11-03,NJ,Orange,234 Cleveland Street,2,2,07050
664,2016-11-02,AR,Little Rock,2111 Bragg Street,1,4,72206
665,2016-11-01,TN,Memphis,5200 block of Zodiac Rd,1,5,38118
666,2016-10-31,LA,Shreveport,700 Block of W 68th St,0,4,71106
667,2016-10-30,OH,Toledo,742 Junction Ave,0,4,43607
668,2016-10-30,NY,New York (Manhattan),135 Ridge Street,0,4,10002
669,2016-10-30,NY,Newburgh,119 First Street,2,5,12550
670,2016-10-30,MD,Capitol Heights,6860 Walker Mill Road,3,3,20743
671,2016-10-30,TX,San Antonio,2900 block of Aspen Meadow,0,5,78238
672,2016-10-29,OH,Dayton,2010 Cornell Ridge Dr,1,3,45406
673,2016-10-29,CA,Los Angeles,1600 block of Century Boulevard,0,5,90047
674,2016-10-29,CA,Riverside,3500 block of Madison Street,0,4,92504
675,2016-10-28,MS,Jackson,200 block of Lorenz Blvd,0,6,39213
676,2016-10-28,FL,Miami Gardens,Northwest 173rd Terrace and 27th Avenue,0,4,33056
677,2016-10-27,GA,Jackson,600 block of Moccasin Gap Road,4,0,30233
678,2016-10-25,OH,Dayton,3300 block of Riverside Dr,1,3,45405
679,2016-10-25,VA,Roanoke,830 Campbell Avenue Southeast,2,3,24013
681,2016-10-22,CA,Oakland,77th and Bancroft Avenues,0,7,94605
682,2016-10-18,CA,San Francisco,325 La Grande Ave,0,4,94108
683,2016-10-17,IL,Chicago (Englewood),6700 block of South Winchester,1,4,60636
684,2016-10-15,AL,Mobile,1800 block of St Stephens Road,0,5,36617
685,2016-10-15,IL,Rockford,7801 East State St,1,5,61108
686,2016-10-15,CA,Los Angeles,2918 Rimpau Blvd,4,11,90016
687,2016-10-14,IL,Chicago,3300 block of W Maypole Ave,1,6,60624
688,2016-10-13,IL,Chicago,2700 block of West Lexington,0,4,60612
689,2016-10-09,MI,Grand Rapids,1850 28th Street SE,1,8,49508
690,2016-10-09,CA,Sacramento,1696 Arden Way,1,3,95815
691,2016-10-08,NY,Brooklyn,7301 3rd Ave,0,4,11209
692,2016-10-04,LA,New Orleans,3727 Ulloa Street,3,2,70119
693,2016-10-03,MN,Minneapolis,Fourth St and Hennepin Ave,0,4,55401
694,2016-10-02,TX,San Antonio,2600 South Flores Street,1,4,78204
695,2016-10-01,IL,Pembroke Township,17250E Road,4,0,60958
696,2016-10-01,CA,Fresno,3200 block of East Clay Avenue,0,4,93702
697,2016-09-29,CA,San Francisco,400 block of Ellis St,1,3,94102
698,2016-09-26,NC,Winston Salem (Winston-salem),100 block of 5 Royales Dr,0,4,27105
699,2016-09-26,TX,Humble,21219 Grand Linden Ct,0,4,77338
700,2016-09-26,TX,Houston,5450 Weslayan St,1,6,77005
701,2016-09-25,IL,Champaign,300 block of E. Green St,1,3,61820
702,2016-09-24,MD,Baltimore,Greenmount Ave and Preston St,0,8,21202
703,2016-09-23,WA,Burlington,201 Cascade Mall Dr,5,0,98233
704,2016-09-18,PA,Philadelphia,3001 Castor Avenue,0,4,19134
705,2016-09-18,PA,Pittsburgh,1700 block of Brighton Pl,0,4,15212
706,2016-09-18,VA,Lynchburg,421 Rivermont Ave,1,3,24504
707,2016-09-17,FL,Miami,20582 SW 119th Ave,0,6,33177
708,2016-09-17,FL,Orlando,3918 Columbia St,1,6,32805
709,2016-09-17,IN,Indianapolis,2016 West 76th Street,2,2,46260
710,2016-09-17,DC,Washington,2600 block of Birney Place SE,2,7,20020
711,2016-09-16,CA,Los Angeles (Hollywood),555 N Heliotrope Dr,2,2,90004
712,2016-09-16,PA,Philadelphia,5100 block of Sansom St,2,5,19139
713,2016-09-14,TX,Humble,16000 block of Saybrook,1,3,77396
714,2016-09-13,IN,Fort Wayne,1723 E Wayne St,3,2,46803
715,2016-09-11,IN,Fort Wayne,3006 Holton Avenue,3,1,46806
716,2016-09-11,LA,New Orleans,2349 S Claiborne Ave,1,5,70125
717,2016-09-11,MO,Kansas City,500 block of Westport Rd,0,6,64111
718,2016-09-11,MI,Saginaw,2207 Pierce Road,0,5,48604
719,2016-09-11,NC,New Bern,1100 block of Highway 70,0,5,28560
720,2016-09-11,NJ,Jersey City,87 Van Wagenen Ave,1,3,07306
721,2016-09-10,FL,Miami,3451 Northwest 36 Street,1,3,33142
722,2016-09-08,TX,Del Valle,8330 Linden Rd,4,0,78617
723,2016-09-08,AR,Hot Springs National Park (Hot Springs),300 block of Lacey St,1,4,71913
724,2016-09-05,IL,Chicago,2700 block of W Lexington Ave,2,3,60612
725,2016-09-05,PA,Reading,600 block of Moss Street,0,4,19604
726,2016-09-04,VA,Roanoke,1020 Orange Ave NE,1,10,24012
727,2016-09-03,NC,Wilmington,600 block of North 30th St,1,3,28405
729,2016-08-30,GA,Atlanta,400 Merritts Avenue NE,0,4,30308
730,2016-08-30,IL,Chicago (Englewood),6800 block of South Ashland,0,4,60636
731,2016-08-29,NJ,Egg Harbor City,907 White Horse Pike,1,5,08215
732,2016-08-28,TX,Lubbock,2200 block of 17th St,0,6,79401
733,2016-08-28,NY,Bronx,514 E 156th St,0,4,10455
734,2016-08-28,MO,Saint Louis,S Grand Blvd and Montana St,2,2,63118
735,2016-08-28,AL,Dadeville,512 E Columbus St,0,5,36853
736,2016-08-27,AL,Bessemer (Brighton),3810 7th Ave,1,6,35020
737,2016-08-27,FL,Miami,1900 block of NW 83rd Terr,2,4,33147
738,2016-08-25,NJ,Bridgeton,Marion Street,0,5,08302
739,2016-08-21,MA,Boston,Westview and Stratton Street,0,4,02124
740,2016-08-21,CT,Bridgeport,19 Plymouth St,0,13,06610
741,2016-08-20,CT,Hamden,903 Dixwell Ave,0,4,06514
742,2016-08-20,WA,Tacoma,900 block of Pacific Avenue,0,5,98402
743,2016-08-20,AL,Citronelle,Jim Platt Road,5,0,36522
744,2016-08-18,CT,Waterbury,402 E Main Street,0,4,05676
746,2016-08-14,VA,Norfolk,1600 block of Selden Avenue,0,4,23523
747,2016-08-14,MN,Minneapolis,1717 Plymouth Ave N,0,5,55411
748,2016-08-13,CA,Los Angeles,6300 block of 11th Avenue,0,4,90043
749,2016-08-13,WI,Milwaukee,4001 West Fond Du Lac Ave,2,2,53216
750,2016-08-13,NY,Richmond Hill,Jamaica Ave and 105th St,0,4,11418
751,2016-08-13,MO,Joplin,1800 Connecticut Ave,0,4,64804
752,2016-08-12,FL,Jacksonville,100 block of West 38th Street,1,3,32206
753,2016-08-12,TX,Dallas,10921 Estate Ln,1,3,75238
754,2016-08-11,PA,Philadelphia,500 block of E Ashmead St,0,4,19144
755,2016-08-10,IL,Evanston,Foster Street and Jackson Avenue,0,4,60201
756,2016-08-10,CA,Sacramento,4000 Green Tree Drive,1,3,95823
757,2016-08-08,FL,Jacksonville,1214 Labelle St,0,7,32205
758,2016-08-08,NM,Albuquerque,341 General Marshall Street NE,2,2,87123
759,2016-08-07,CA,Los Angeles,5925 South Figueroa Street,1,3,90003
760,2016-08-07,MS,Vicksburg,4460 Clay St,1,3,39183
761,2016-08-07,CO,Arvada,5400 block of Sheridan Boulevard,2,2,80002
762,2016-08-07,IL,Chicago,100 block of South Springfield,0,4,60624
763,2016-08-06,PA,Reading (Sinking Spring),51 Winding Brook Drive,5,0,19608
764,2016-08-05,MI,Pontiac,70 block of Thorpe Street,1,3,48341
765,2016-08-05,CA,Perris,21600 block of Rider St,2,2,92570
766,2016-08-04,TN,Memphis,Ayers Street and Griffith Avenue,0,4,38107
767,2016-08-03,GA,Decatur,4110 Glenwood Road,1,3,30032
768,2016-08-02,FL,Hollywood (West Park),5700 block of Hallandale Beach Blvd,0,4,33023
769,2016-08-01,IN,Evansville,South Bedford Avenue,0,4,47713
770,2016-07-31,FL,Miami,Southwest 203rd Terrace and 115th Avenue,3,1,33189
771,2016-07-31,TX,Austin,208 E 6th St,1,4,78701
772,2016-07-30,MO,Saint Louis,5000 block of Kensington Ave,0,5,63108
773,2016-07-30,WA,Mukilteo,10009 Chennault Beach,3,1,98275
775,2016-07-29,GA,Athens,Trail Creek St,0,7,30601
776,2016-07-28,NY,Elmira,303 College Ave,0,5,14901
778,2016-07-28,IL,Chicago,800 block of West 50th Place,2,2,60609
779,2016-07-25,FL,Fort Myers,3580 Evans Ave,2,19,33901
780,2016-07-24,OH,Hamilton,1555 Main St,1,7,45013
781,2016-07-23,SC,North Charleston,3630 Ashley Phosphate Road,0,4,29420
782,2016-07-23,OH,Cincinnati,3400 block of Beekman St,2,2,45223
784,2016-07-23,TX,Bastrop,202 Childers Drive,4,1,78602
785,2016-07-22,IL,Kankakee,300 block of North Wildwood Avenue,0,5,60901
786,2016-07-21,IL,Chicago,4400 block of South Leamington,0,5,60638
787,2016-07-20,CA,Fresno,Hedges at Peach and Olive,0,4,93727
788,2016-07-19,AR,West Memphis,13th Street and Tyler Avenue,0,4,72301
789,2016-07-17,TX,Houston,6610 Tidwell,1,3,77016
790,2016-07-17,MI,Detroit,Grand River and McGraw avenue,0,4,48208
791,2016-07-17,LA,Baton Rouge,9611 Airline Hwy,4,3,70815
792,2016-07-16,TX,Dallas,6300 block of Benavides Drive,0,5,75217
793,2016-07-16,OH,Cleveland,5000 block of Euclid Avenue,0,5,44103
794,2016-07-16,CA,San Bernardino,1200 block of West 25th Street,0,4,92405
795,2016-07-16,CA,Bakersfield,621 Stephens Drive,1,14,93304
796,2016-07-16,TN,Clarksville,1348 College Street,0,6,37040
797,2016-07-15,WA,Woodland,4006 NW 417th Street,3,1,98674
798,2016-07-14,TX,Crosby,400 block of Pecan Avenue,3,1,77532
799,2016-07-14,CA,Oakland,1600 block of 7th Street,0,4,94607
800,2016-07-14,OH,Akron,900 block of Moeller Avenue,1,3,44307
801,2016-07-13,GA,Warner Robins,105 Magnolia Avenue,0,5,31093
802,2016-07-13,MO,Saint Louis,3000 block of Miami St,2,2,63118
803,2016-07-11,MD,Baltimore,1800 block of W. North Avenue,0,5,21217
804,2016-07-11,MI,Jackson,500 block of Summit Avenue,0,4,49203
805,2016-07-11,DC,Washington,"5100 block of Call Pl., SE",0,4,20019
806,2016-07-11,MI,Saint Joseph,811 Port St,3,2,49085
807,2016-07-07,LA,Baton Rouge,2136 North Lobdell Avenue,0,4,70806
808,2016-07-07,TX,Dallas,800 Main St,5,9,75202
809,2016-07-07,TN,Bristol,536 Volunteer Pkwy,1,4,37620
810,2016-07-05,CA,Los Angeles,56th Street and Naomi Avenue,0,4,90011
811,2016-07-04,NY,Brooklyn,419 Chauncey St,0,7,11233
812,2016-07-04,PA,Pittsburgh,Seventh  Ave and Liberty Ave,0,4,15222
813,2016-07-04,IL,Chicago (Englewood),5500 block of South Hermitage Avenue,0,4,60636
814,2016-07-04,OH,Cleveland,1400 block of W. 107 Street,0,4,44102
815,2016-07-04,TX,Houston,1300 block of Robin,3,2,77019
816,2016-07-04,AZ,Phoenix,4000 block of West Southern Avenue,2,6,85041
817,2016-07-03,LA,Monroe,401 Lea Joyner Memorial Expy,2,3,71201
818,2016-07-03,TN,Chattanooga,2300 block of Daisy Street,0,4,37406
819,2016-06-30,IL,Chicago,9500 block of South Loomis Street,1,4,60643
820,2016-06-29,NV,Las Vegas,6100 block of West Lake Mead Boulevard,5,0,89108
821,2016-06-28,CA,Los Angeles,13800 block of S Avalon Boulevard,1,3,90061
822,2016-06-28,IL,Chicago,1600 block of South Christiana,0,4,60623
