,States,Gun Check Totals,Result2014
0,Alabama,621305,R
1,Alaska,87623,R
2,Arizona,310672,R
3,Arkansas,234282,R
4,California,1474616,B
5,Colorado,413284,B
6,Connecticut,270297,B
7,Delaware,42950,B
8,District of Columbia,512,B
9,Florida,1034546,B
10,Georgia,484580,R
11,Hawaii,15225,B
12,Idaho,131742,R
13,Illinois,1344096,B
14,Indiana,647550,R
15,Iowa,127022,B
16,Kansas,172167,R
17,Kentucky,2492184,R
18,Louisiana,315357,R
19,Maine,83085,B
20,Maryland,142207,B
21,Massachusetts,179344,B
22,Michigan,424091,B
23,Minnesota,481122,B
24,Mississippi,214829,R
25,Missouri,517063,R
26,Montana,121836,R
27,Nebraska,68568,R
28,Nevada,116735,B
29,New Hampshire,124677,B
30,New Jersey,92320,B
31,New Mexico,139780,B
32,New York,365427,B
33,North Carolina,1182349,R
34,North Dakota,70548,R
35,Ohio,596389,B
36,Oklahoma,348495,R
37,Oregon,243044,B
38,Pennsylvania,899241,B
39,Rhode Island,20400,B
40,South Carolina,289764,R
41,South Dakota,83659,R
42,Tennessee,533394,R
43,Texas,1465992,R
44,Utah,263812,R
45,Vermont,31502,B
46,Virginia,419764,B
47,Washington,482115,B
48,West Virginia,221847,R
49,Wisconsin,334308,B
50,Wyoming,63063,R
