,GUN LAW STRENGTH (RANKED),STATE,2014 GRADE,GRADE number
0,1,California,A-,0.5
1,2,Connecticut,A-,0.5
2,3,New Jersey,A-,0.5
3,4,Maryland,A-,0.5
4,5,New York,A-,0.5
5,6,Massachusetts,A-,0.5
6,7,Hawaii,B+,1
7,8,Illinois,B+,1
8,9,Rhode Island,B+,1
9,10,Delaware,B-,2
10,11,Washington,B-,2
11,12,Minnesota,C,3
12,13,Pennsylvania,C,3
13,14,Michigan,C,3
14,15,Iowa,C-,3.5
15,16,Colorado,C-,3.5
16,17,Wisconsin,C-,3.5
17,18,Oregon,D+,4
18,19,Ohio,D,4.5
19,20,Virginia,D,4.5
20,21,Nebraska,D,4.5
21,22,New Hampshire,D-,5
22,23,Indiana,D-,5
23,24,Maine,F,5.5
24,24,Oklahoma,F,5.5
25,24,West Virginia,F,5.5
26,27,Georgia,F,5.5
27,27,North Dakota,F,5.5
28,29,Nevada,F,5.5
29,29,North Carolina,F,5.5
30,29,Texas,F,5.5
31,32,Arkansas,F,5.5
32,32,Florida,F,5.5
33,34,New Mexico,F,5.5
34,34,South Carolina,F,5.5
35,34,Tennessee,F,5.5
36,37,Alabama,F,5.5
37,38,Utah,F,5.5
38,39,Idaho,F,5.5
39,39,Montana,F,5.5
40,41,Kansas,F,5.5
41,41,Vermont,F,5.5
42,43,South Dakota,F,5.5
43,44,Alaska,F,5.5
44,44,Missouri,F,5.5
45,44,Wyoming,F,5.5
46,47,Kentucky,F,5.5
47,48,Arizona,F,5.5
48,48,Mississippi,F,5.5
49,50,Louisiana,F,5.5
