GUN LAW STRENGTH (RANKED),STATE,2016 GRADE
1,California,A
2,Connecticut,A-
3,New Jersey,A-
4,Massachusetts,A-
5,Maryland,A-
5,New York,A-
7,Hawaii,A-
8,Illinois,B+
9,Rhode Island,B+
10,Washington,B
11,Delaware,B
12,Minnesota,C+
13,Pennsylvania,C
14,Colorado,C
15,Oregon,C
16,Iowa,C
16,Michigan,C
18,Nevada,C-
19,Wisconsin,C-
20,Nebraska,D
21,Ohio,D
21,Virginia,D
23,New Hampshire,D
24,Indiana,D-
23,North Carolina,D-
26,Florida,F
27,Oklahoma,F
27,Tennessee,F
29,Georgia,F
29,New Mexico,F
29,North Dakota,F
29,South Carolina,F
29,Utah,F
34,Texas,F
34,West Virginia,F
36,Maine,F
37,Alabama,F
38,Arkansas,F
38,Montana,F
40,South Dakota,F
41,Vermont,F
42,Kentucky,F
43,Louisiana,F
44,Alaska,F
45,Wyoming,F
46,Idaho,F
47,Arizona,F
48,Kansas,F
48,Missouri,F
50,Mississippi,F
