GUN LAW STRENGTH (RANKED),STATE,2014 GRADE
1,California,A-
2,Connecticut,A-
3,New Jersey,A-
4,Maryland,A-
5,New York,A-
6,Massachusetts,A-
7,Hawaii,B+
8,Illinois,B+
9,Rhode Island,B+
10,Delaware,B-
11,Washington,B-
12,Minnesota,C
13,Pennsylvania,C
14,Michigan,C
15,Iowa,C-
16,Colorado,C-
17,Wisconsin,C-
18,Oregon,D+
19,Ohio,D
20,Virginia,D
21,Nebraska,D
22,New Hampshire,D-
23,Indiana,D-
24,Maine,F
24,Oklahoma,F
24,West Virginia,F
27,Georgia,F
27,North Dakota,F
29,Nevada,F
29,North Carolina,F
29,Texas,F
32,Arkansas,F
32,Florida,F
34,New Mexico,F
34,South Carolina,F
34,Tennessee,F
37,Alabama,F
38,Utah,F
39,Idaho,F
39,Montana,F
41,Kansas,F
41,Vermont,F
43,South Dakota,F
44,Alaska,F
44,Missouri,F
44,Wyoming,F
47,Kentucky,F
48,Arizona,F
48,Mississippi,F
50,Louisiana,F
