,GUN LAW STRENGTH (RANKED),STATE,2017 GRADE,GRADE number
0,1,California,A,0
1,2,New Jersey,A-,0.5
2,3,Connecticut,A-,0.5
3,4,Massachusetts,A-,0.5
4,5,New York,A-,0.5
5,6,Maryland,A-,0.5
6,7,Hawaii,A-,0.5
7,8,Illinois,B+,1
8,9,Rhode Island,B+,1
9,10,Washington,B,1.5
10,11,Delaware,B,1.5
11,12,Minnesota,C+,2.5
12,13,Pennsylvania,C,3
13,14,Oregon,C,3
14,15,Colorado,C,3
15,16,Michigan,C,3
16,17,Wisconsin,C-,3.5
17,18,Iowa,C-,3.5
18,19,Nebraska,D,4.5
19,20,Virginia,D,4.5
20,21,Ohio,D,4.5
21,22,Nevada,D,4.5
22,23,Indiana,D-,5
23,24,Tennessee,D-,5
24,25,North Carolina,D-,5
25,26,Florida,F,5.5
26,27,Oklahoma,F,5.5
27,27,Utah,F,5.5
28,29,New Mexico,F,5.5
29,29,South Carolina,F,5.5
30,31,New Hampshire,F,5.5
31,32,Georgia,F,5.5
32,32,Texas,F,5.5
33,32,West Virginia,F,5.5
34,35,Maine,F,5.5
35,36,Alabama,F,5.5
36,37,Montana,F,5.5
37,37,North Dakota,F,5.5
38,39,Arkansas,F,5.5
39,40,South Dakota,F,5.5
40,41,Vermont,F,5.5
41,42,Kentucky,F,5.5
42,43,Louisiana,F,5.5
43,44,Alaska,F,5.5
44,45,Wyoming,F,5.5
45,46,Idaho,F,5.5
46,47,Arizona,F,5.5
47,48,Kansas,F,5.5
48,48,Missouri,F,5.5
49,50,Mississippi,F,5.5
