GUN LAW STRENGTH (RANKED),STATE,2017 GRADE
1,California,A
2,New Jersey,A-
3,Connecticut,A-
4,Massachusetts,A-
5,New York,A-
6,Maryland,A-
7,Hawaii,A-
8,Illinois,B+
9,Rhode Island,B+
10,Washington,B
11,Delaware,B
12,Minnesota,C+
13,Pennsylvania,C
14,Oregon,C
15,Colorado,C
16,Michigan,C
17,Wisconsin,C-
18,Iowa,C-
19,Nebraska,D
20,Virginia,D
21,Ohio,D
22,Nevada,D
23,Indiana,D-
24,Tennessee,D-
25,North Carolina,D-
26,Florida,F
27,Oklahoma,F
27,Utah,F
29,New Mexico,F
29,South Carolina,F
31,New Hampshire,F
32,Georgia,F
32,Texas,F
32,West Virginia,F
35,Maine,F
36,Alabama,F
37,Montana,F
37,North Dakota,F
39,Arkansas,F
40,South Dakota,F
41,Vermont,F
42,Kentucky,F
43,Louisiana,F
44,Alaska,F
45,Wyoming,F
46,Idaho,F
47,Arizona,F
48,Kansas,F
48,Missouri,F
50,Mississippi,F
