,States,Gun Check Totals,Result2016
0,Alabama,616947,R
1,Alaska,87647,R
2,Arizona,416279,R
3,Arkansas,266014,R
4,California,2377167,B
5,Colorado,540514,B
6,Connecticut,317692,B
7,Delaware,59430,B
8,District of Columbia,875,B
9,Florida,1435340,R
10,Georgia,612985,R
11,Hawaii,16681,B
12,Idaho,156343,R
13,Illinois,1924070,B
14,Indiana,1436725,R
15,Iowa,202277,R
16,Kansas,196548,R
17,Kentucky,3676847,R
18,Louisiana,391869,R
19,Maine,111582,B
20,Maryland,165367,B
21,Massachusetts,226212,B
22,Michigan,579605,R
23,Minnesota,651599,B
24,Mississippi,276161,R
25,Missouri,632319,R
26,Montana,136337,R
27,Nebraska,88663,R
28,Nevada,147992,B
29,New Hampshire,165164,B
30,New Jersey,121853,B
31,New Mexico,161216,B
32,New York,404772,B
33,North Carolina,601445,R
34,North Dakota,72036,R
35,Ohio,875724,R
36,Oklahoma,364590,R
37,Oregon,324708,B
38,Pennsylvania,1143220,R
39,Rhode Island,27758,B
40,South Carolina,402978,R
41,South Dakota,111921,R
42,Tennessee,714774,R
43,Texas,1721726,R
44,Utah,294907,R
45,Vermont,39417,B
46,Virginia,528369,B
47,Washington,713996,B
48,West Virginia,242350,R
49,Wisconsin,561819,R
50,Wyoming,63594,R
